node_uuid,ispartof,ismemberof,type,label,description,website_url,creator_lod,issue_info,date_created,date_published,publisher,interviewee,interviewer,duration,language,owner,local_identifier,rights,rights_statements,subject_loc,subject_lcnaf_corporate_names,subject_lcnaf_geographic_names,subject_lcgft_terms,subjects_local,term_aat_getty,subject_wikidata,geographic_location,images,documents,audios,videos,model,upload_associated_warcs
6de8e0f9-62d2-4d1a-8e25-956130cb9096,,,Collection,Archipelago Demo Collection 1,Collection of demo Archipelago Digital Objects of various types.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54b12d28-ac7a-4a96-ac85-5cb8e4150458,,2,Map,Map of Midtown Manhattan down to Greenwich Village.,"Nineteenth-century map of Midtown Manhattan extending to Greenwich Village. Digital version published by City University of New York. Graduate School and University Center, Mina Rees Library.",,,,1890-01-01,,Sun Manhattan,,,,English,"City University of New York. Graduate School and University Center, Mina Rees Library.",34176,"The images and information provided in this collection may not be reproduced in any form without permission from the Mina Rees Library, The Graduate Center, City University of New York, except for ""fair use"" as defined by copyright law. Responsibility for making an independent legal assessment of an item from the 34th Street digital collection and for securing any necessary permissions rests with persons desiring to use the item.",In Copyright - Educational Use Permitted,"[{""uri"":""http://id.loc.gov/authorities/subjects/sh2009119875"",""label"":""City and town life--New York (State)--New York""}]",,"[{""uri"":""http://id.loc.gov/authorities/names/n95077253"",""label"":""Midtown Manhattan (New York, N.Y.)""},{""uri"":""http://id.loc.gov/authorities/names/n97020733"",""label"":""Greenwich Village (New York, N.Y.)""}]","[{""uri"":""http://id.loc.gov/authorities/genreForms/gf2011026387"",""label"":""Maps""}]","[""Thirty-fourth Street (New York, N.Y.)--Maps"",""Midtown Manhattan (New York, N.Y.)--Maps"",""Greenwich Village (New York, N.Y.)--Maps"",""City and town life--New York (State)--New York--History--19th century--Maps""]",,,"{""lat"":""40.7601085"",""lng"":""-73.978163290872"",""city"":""New York"",""state"":""New York"",""value"":""Midtown, Manhattan Community Board 5, Manhattan, New York County, New York, United States"",""county"":""New York County"",""osm_id"":""8398090"",""country"":""United States"",""category"":""boundary"",""locality"":"""",""osm_type"":""relation"",""postcode"":"""",""country_code"":""us"",""display_name"":""Midtown, Manhattan Community Board 5, Manhattan, New York County, New York, United States"",""neighbourhood"":""Manhattan"",""state_district"":""""}",http://dcmny.org/islandora/object/cuny34thstreet%3A849/datastream/JP2/view,,,,,
f6f14cb5-9c01-40a2-b15c-096188a023e3,,2,Map,Old auction lot map of 36th and 37th Streets between Madison and Park Avenues.,Madison Ave. and East 37th Street. The only remaining buildings are the brownstone on the north side of 37th Street and the Morgan Library's Book Store building (formerly the Lutheran Church in America) on Madison and 37th Street. Circa 1860's. Caption: E.H. Ludlow Auctioneer. Digitized by Mina Rees Library; City University of New York. Graduate School and University Center.,,"[{""name_uri"":""http://id.loc.gov/authorities/names/nr99014684"",""role_uri"":""http://id.loc.gov/vocabulary/relators/ctb"",""agent_type"":""corporate"",""name_label"":""E.H. Ludlow & Co."",""role_label"":""Contributor""}]",,1860-01-01,,,,,,English,"City University of New York. Graduate School and University Center, Mina Rees Library.",MadAveQ,"The images and information provided in this collection may not be reproduced in any form without permission from the Mina Rees Library, The Graduate Center, City University of New York, except for ""fair use"" as defined by copyright law.",In Copyright - Educational Use Permitted,,,"[{""uri"":""http://id.loc.gov/authorities/subjects/sh00006189"",""label"":""Madison Avenue (New York, N.Y.)""},{""uri"":""http://id.loc.gov/authorities/subjects/sh89003003"",""label"":""Park Avenue (New York, N.Y.)""},{""uri"":""http://id.loc.gov/authorities/names/n2013061472"",""label"":""Murray Hill (New York, N.Y.)""}]","[{""uri"":""http://id.loc.gov/authorities/genreForms/gf2011026387"",""label"":""Maps""}]","[""Madison Avenue (New York, N.Y.)"",""Park Avenue (New York, N.Y.)"",""E.H. Ludlow & Co."",""Auctions"",""Real property""]",,,"{""lat"":""40.7481574"",""lng"":""-73.97875"",""city"":""New York"",""state"":""New York"",""value"":""Murray Hill, Manhattan Community Board 6, Manhattan, New York County, New York, United States"",""county"":""New York County"",""osm_id"":""8398094"",""country"":""United States"",""category"":""boundary"",""locality"":"""",""osm_type"":""relation"",""postcode"":"""",""country_code"":""us"",""display_name"":""Murray Hill, Manhattan Community Board 6, Manhattan, New York County, New York, United States"",""neighbourhood"":""Manhattan"",""state_district"":""""}",http://dcmny.org/islandora/object/murrayhill%3A211/datastream/OBJ/view,,,,,
d6c3be9f-7cf7-4044-8e65-4168410e23dc,,2,Map,"Final plan for the development of the New York Zoological Park as presented by the New York Zoological Society, in 1897","Digitized by Wildlife Conservation Society Archives Language, Map in Scale 1:3,6000, Torn along folds, Extend: 1 map: color ; 37 x 47 cm, folded to 24 x 14 cm, Reformatted digital.",,"[{""name_uri"": ""http:\/\/id.loc.gov\/vocabulary\/organizations\/nnz"", ""role_uri"": ""http:\/\/id.loc.gov\/vocabulary\/relators\/cre"",""agent_type"": ""corporate"",""name_label"": ""New York Zoological Society"",""role_label"": ""Creator""}]",,1891-01-01,,New York Zoological Society,,,,English,Wildlife Conservation Society,2016-map-002,"For rights and permissions, please contact the Wildlife Conservation Society Archives, library@wcs.org",In Copyright - Educational Use Permitted,,,"[{""uri"": ""http:\/\/id.loc.gov\/authorities\/names\/n81059724"",""label"": ""Bronx (New York, N.Y.)""},{""uri"": ""http:\/\/id.loc.gov\/authorities\/names\/n79007751"",""label"": ""New York (N.Y.)""}]","[{""uri"":""http://id.loc.gov/authorities/genreForms/gf2011026387"",""label"":""Maps""}]","[""Bronz Zoo"",""Bronx Zoo--Maps, pictorial""]",,"[{""uri"":""http://www.wikidata.org/entity/Q739792"",""label"":""Bronx Zoo ""},{""uri"":""http://www.wikidata.org/entity/Q18426"",""label"":""The Bronx ""}]","{""lat"":""40.8466508"",""lng"":""-73.8785937"",""city"":""New York"",""state"":""New York"",""value"":""The Bronx, Bronx County, New York, United States"",""county"":"""",""osm_id"":""9691916"",""country"":""United States"",""category"":""boundary"",""locality"":"""",""osm_type"":""relation"",""postcode"":"""",""country_code"":""us"",""display_name"":""The Bronx, Bronx County, New York, United States"",""neighbourhood"":""Bronx County"",""state_district"":""""}",http://dcmny.org/islandora/object/zoomaps%3A82/datastream/OBJ/view,,,,,
e9401cbe-9b1d-4b13-ab92-a56f1ff426fa,,2,Book,Airs novveaux de la covr,"Manuscript on vellum. Headlines in red; initials in gold and various colors; coat of arms (apparently of a lady of the Painel-Marcel family) in gold and colors on first leaf. Dessus and bassus parts on confronting pages; the bassus part principally vocal. Mosaic binding by Trautz-Bauzonnet, dated 1854, with monogram of the Comte de Lurde; inserted is a ms. note by the binder, reading ""Les airs de la cour manuscrit Jarry ... est la reliure qui m'a donné le plus de satisfaction et je la regarde comme une des mes meilleures productions. G. Trautz."" Baron d'Heis, J. J. de Bure l'ainé (inscription on flyleaf), Comte de Lurde (bookplate), Baron de Ruble, Robert Hoe (bookplate), C.F. Bishop (bookplate), L. Wilmerding (bookplate). Library of Congress. Lessing J. Rosenwald collection, 1415.",,"[{""name_uri"":""http://id.loc.gov/authorities/names/nr98023400"",""role_uri"":""http://id.loc.gov/vocabulary/relators/cre"",""agent_type"":""personal"",""name_label"":""Jarry, Nicolas, approximately 1605-approximately 1666"",""role_label"":""Creator""},{""name_uri"":""http://id.loc.gov/authorities/names/nr93006612"",""role_uri"":""http://id.loc.gov/vocabulary/relators/bnd"",""agent_type"":""personal"",""name_label"":""Trautz, Georges, 1808-1879"",""role_label"":""Binder""},{""name_uri"":""http://id.loc.gov/authorities/names/nr98007000"",""role_uri"":""http://id.loc.gov/vocabulary/relators/fmo"",""agent_type"":""personal"",""name_label"":""Wilmerding, Lucius, 1880-1949"",""role_label"":""Former owner""}]",,1670-01-01,2019-08-26,,,,,French,Lessing J. Rosenwald Collection (Library of Congress),https://lccn.loc.gov/51007065,,In Copyright - Educational Use Permitted,"[{""uri"":""http://id.loc.gov/authorities/subjects/sh85080672"",""label"":""Manuscripts""},{""uri"":""http://id.loc.gov/authorities/subjects/sh99001795"",""label"":""Music""},{""uri"":""http://id.loc.gov/authorities/subjects/sh85098322"",""label"":""Part songs, French""}]",,,,,,,,,https://archipelago.nyc/do/131/iiif/bbc5a384-3463-436c-8245-80ddf0dc59bb/full/full/0/service-rbc-rbc0001-2015-2015rosen1415-2015rosen1415.pdf,,,,
2189d20f-bcac-43d2-96e8-a1ef37a25860,,2,Photograph,Senju no oubashi (Senju great bridge),"View of the bridge of Senju crossing the Sumida River, with mountains in the background. Caption label from exhibit ""Floating World,"" Major Genres Landscapes section: The Great Bridge at Senju. This view by Utagawa Hiroshige (1797-1858) shows the great bridge of Senju crossing the Arakawa River. The Senju Bridge was built in 1594 and stood for nearly 300 years until it was washed away in the great flood of 1885. Mount Buk ̥(4,383 feet) is also depicted. The superb printing of the wood grain and the crisp detail attests that this image is an early edition. Notably, the wood grain creates a rhythmic pattern in the water, adding a rich texture to its surface. Title and other descriptive information compiled by Nichibunken-sponsored Edo print specialists in 2005-06.",,"[{""name_uri"":""http://id.loc.gov/authorities/names/n50044379"",""role_uri"":""http://id.loc.gov/vocabulary/relators/art"",""agent_type"":""personal"",""name_label"":""Andō, Hiroshige, 1797-1858"",""role_label"":""Artist""}]",,1856-01-01,2020-12-25,,,,,Japanese,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",,,In Copyright - Educational Use Permitted,"[{""uri"":""http://id.loc.gov/authorities/subjects/sh87005810"",""label"":""Bridges--Japan""},{""uri"":""http://id.loc.gov/authorities/subjects/sh85114321"",""label"":""Rivers--Japan""},{""uri"":""http://id.loc.gov/authorities/subjects/sh2010002441"",""label"":""Landscape prints, Japanese""},{""uri"":""http://id.loc.gov/authorities/subjects/sh85139330"",""label"":""Ukiyoe""}]",,"[{""uri"":""http://id.loc.gov/authorities/subjects/sh85130420"",""label"":""Sumida River (Japan)""}]","[{""uri"":""http://id.loc.gov/authorities/genreForms/gf2017027269"",""label"":""Woodcuts""}]",,,,"{""lat"":""35.7416692"",""lng"":""139.791137"",""city"":""Tokyo"",""state"":"""",""value"":""Sumida River, Tokyo, 1350024, Japan"",""county"":"""",""osm_id"":""3878383"",""country"":""Japan"",""category"":""waterway"",""locality"":"""",""osm_type"":""relation"",""postcode"":""1350024"",""country_code"":""jp"",""display_name"":""Sumida River, Tokyo, 1350024, Japan"",""neighbourhood"":"""",""state_district"":""""}",https://archipelago.nyc/do/132/iiif/3df130b3-2d05-4e93-95be-82619ca32a18/full/full/0/service-pnp-jpd-01500-01578v.jpg,,,,,
1abb04da-280e-494f-8142-9863de8e8e79,,2,Photograph,Panoramic View of the Andromeda Galaxy,"""The largest NASA Hubble Space Telescope image ever assembled, this sweeping bird’s-eye view of a portion of the Andromeda galaxy (M31) is the sharpest large composite image ever taken of our galactic next-door neighbor. Though the galaxy is over 2 million light-years away, The Hubble Space Telescope is powerful enough to resolve individual stars in a 61,000-light-year-long stretch of the galaxy’s pancake-shaped disk. ... The panorama is the product of the Panchromatic Hubble Andromeda Treasury (PHAT) program. Images were obtained from viewing the galaxy in near-ultraviolet, visible, and near-infrared wavelengths, using the Advanced Camera for Surveys and the Wide Field Camera 3 aboard Hubble. This cropped view shows a 48,000-light-year-long stretch of the galaxy in its natural visible-light color, as photographed with Hubble's Advanced Camera for Surveys in red and blue filters July 2010 through October 2013."" -full description available at: https://hubblesite.org/image/3476/gallery/73-phat",,"[{""name_uri"":""http://id.loc.gov/authorities/names/n78087581"",""role_uri"":""http://id.loc.gov/vocabulary/relators/cre"",""agent_type"":""corporate"",""name_label"":""United States. National Aeronautics and Space Administration"",""role_label"":""Creator""}]",,2014-12-16,,NASA,,,,English,NASA,https://hubblesite.org/image/3476/gallery/73-phat,,In Copyright - Educational Use Permitted,"[{""uri"":""http://id.loc.gov/authorities/subjects/sh85133444"",""label"":""Telescopes""},{""uri"":""http://id.loc.gov/authorities/subjects/sh85125947"",""label"":""Space photography""},{""uri"":""http://id.loc.gov/authorities/subjects/sh85004924"",""label"":""Andromeda Galaxy""}]","[{""uri"":""http://id.loc.gov/authorities/names/no96025733"",""label"":""NASA Advisory Council. Aeronautics Advisory Committee""}]",,"[{""uri"":""http://id.loc.gov/authorities/genreForms/gf2011026056"",""label"":""Astronomical models""}]",,"[{""uri"":""http://vocab.getty.edu/aat/300134506"",""label"":""astronomical photography""}]","[{""uri"":""http://www.wikidata.org/entity/Q2513"",""label"":""Hubble Space Telescope""},{""uri"":""http://www.wikidata.org/entity/Q2469"",""label"":""Andromeda Galaxy""},{""uri"":""http://www.wikidata.org/entity/Q81932940"",""label"":""space photography""}]","{""lat"":""38.99983125"",""lng"":""-76.845861272547"",""city"":""Glenn Dale"",""state"":""Maryland"",""value"":""Goddard Space Flight Center, Greenbelt Road, Brookland, Glenn Dale, Prince George's County, Maryland, 20769, United States"",""county"":""Prince George's County"",""osm_id"":""4237285"",""country"":""United States"",""category"":""amenity"",""locality"":"""",""osm_type"":""relation"",""postcode"":""20769"",""country_code"":""us"",""display_name"":""Goddard Space Flight Center, Greenbelt Road, Brookland, Glenn Dale, Prince George's County, Maryland, 20769, United States"",""neighbourhood"":""Brookland"",""state_district"":""""}",https://archipelago.nyc/do/130/iiif/45ae14db-b784-46bf-a610-f41ade59d48d/full/full/0/hs-2015-02-a-hires_jpg.jpg,,,,,
99161a75-43d8-42ee-8f18-e8d1855640b6,,2,VideoObject,Train Departure,"Video depicting view from train departing station in Rahway, NJ.",,"[{""name_uri"":"""",""role_uri"":""http://id.loc.gov/vocabulary/relators/vdg"",""agent_type"":""personal"",""name_label"":""Pino Navarro, Diego"",""role_label"":""Videographer""}]",,,,,,,,,,,,In Copyright - Educational Use Permitted,"[{""uri"":""http://id.loc.gov/authorities/subjects/sh85111128"",""label"":""Railroads--New Jersey""}]",,,,,,"[{""uri"":""http://www.wikidata.org/entity/Q55488"",""label"":""railway station""}]","{""lat"":""40.6061435"",""lng"":""-74.2765099"",""city"":""Rahway"",""state"":""New Jersey"",""value"":""Rahway, East Milton Avenue, Rahway, Union County, New Jersey, 07065, United States"",""county"":""Union County"",""osm_id"":""7007201158"",""country"":""United States"",""category"":""railway"",""locality"":"""",""osm_type"":""node"",""postcode"":""07065"",""country_code"":""us"",""display_name"":""Rahway, East Milton Avenue, Rahway, Union County, New Jersey, 07065, United States"",""neighbourhood"":"""",""state_district"":""""}",,,,https://archipelago.nyc/do/51/iiif/6b1da3cf-d91a-4dd4-98d7-5dc0cdb85d67/full/full/0/diego4.m4v,,
72352cad-13a5-4287-9710-c73b0003b591,,2,Painting,Los funerales de Atahualpa,"1867 oil on canvas painting by Luis Montero, depicting the funeral of Atahualpa.",,"[{""name_uri"":""http://id.loc.gov/authorities/names/n2003006772"",""role_uri"":""http://id.loc.gov/vocabulary/relators/art"",""agent_type"":""personal"",""name_label"":""Montero, Luis, 1827-1869"",""role_label"":""Artist""}]",,1867-01-01,,,,,,Spanish,Lima Art Museum,,,No Known Copyright,"[{""uri"":""http://id.loc.gov/authorities/subjects/sh2008007183"",""label"":""History painting""}]",,"[{""uri"":""http://id.loc.gov/authorities/names/n82000776"",""label"":""Atahualpa, -1533""}]","[{""uri"":""http://id.loc.gov/authorities/genreForms/gf2017027246"",""label"":""Paintings""}]",,,"[{""uri"":""http://www.wikidata.org/entity/Q179577"",""label"":""Atahualpa""}]","{""lat"":""-13.5170887"",""lng"":""-71.9785356"",""city"":""Cusco"",""state"":""Cusco"",""value"":""Cusco, Distrito de Cusco, Province of Cusco, Cusco, 08001, Peru"",""county"":"""",""osm_id"":""59115290"",""country"":""Peru"",""category"":""place"",""locality"":"""",""osm_type"":""node"",""postcode"":""08001"",""country_code"":""pe"",""display_name"":""Cusco, Distrito de Cusco, Province of Cusco, Cusco, 08001, Peru"",""neighbourhood"":"""",""state_district"":""""}",https://archipelago.nyc/do/52/iiif/243dadd5-8102-4b1b-bfd3-ebe9cc189135/full/full/0/image-luis-montero-the-funerals-of-inca-atahualpa-google-art-project-0-9ad9e165-7ea3-4772-8c45-06767ec3ef1a.jpg,,,,,
6d491644-8875-4b87-b8eb-dd5243147b9e,,2,3DModel,A Central American Pantera Skull (Jaguar),A 3D model of a Central American Pantera Skull (Jaguar).,,,,,2020-07-14,,,,,English,,,,Copyright Undetermined,"[{""uri"":""http://id.loc.gov/authorities/subjects/sh85069247"",""label"":""Jaguar""}]",,,,,"[{""uri"":""http://vocab.getty.edu/aat/300375036"",""label"":""Acer nigrum (species)""}]","[{""uri"":""http://www.wikidata.org/entity/Q35694"",""label"":""jaguar""}]","{""lat"":""11.9191554"",""lng"":""-84.6476999"",""city"":""El Coral (Municipio)"",""state"":""Chontales"",""value"":""El Coral (Municipio), Chontales, 56900, Nicaragua"",""county"":"""",""osm_id"":""5758786"",""country"":""Nicaragua"",""category"":""boundary"",""locality"":"""",""osm_type"":""relation"",""postcode"":""56900"",""country_code"":""ni"",""display_name"":""El Coral (Municipio), Chontales, 56900, Nicaragua"",""neighbourhood"":"""",""state_district"":""""}",https://archipelago.nyc/do/53/iiif/a7a485fb-6fad-42d6-8c79-f10a3c6f5611/full/full/0/73d_image-screen-shot-2020-08-27-at-18-03-35-12e3ee2e-3ddc-4d2f-84df-dcf50f1af585.jpg,,,,https://archipelago.nyc/do/53/iiif/cf62a55f-7b0d-4619-a85a-1838d08a8799/full/full/0/model-scull-5b5a28c1-c3f0-455e-a854-1ff9162af00b.obj,
